,left_image_path,right_image_path,harris_neighbourhood_size,harris_keypoint_threshold,descriptor,patch_size,n_matches,matching_method,RANSAC_iterations,RANSAC_init_points,RANSAC_inlier_threshold,wandb,Sensitivity,n_inliers,inlier_ratio,average_residuals
0,images/leftImage1.png,images/rightImage1.png,2,0.05,smooth_pixel_neighbourhood,5,100,correlation,500,5,20,False,166.09604764216007,10,0.10526315789473684,79.62013448063823
0,images/leftImage1.png,images/rightImage1.png,2,0.05,sift,5,100,correlation,500,5,20,False,125.13489603970326,14,0.14736842105263157,66.85156339133353
0,images/leftImage1.png,images/rightImage1.png,2,0.05,sift,5,500,correlation,500,5,50.0,False,446.1466163783999,153,0.3090909090909091,643.843729531515
0,images/leftImage1.png,images/rightImage1.png,2,0.05,sift,5,1000,correlation,500,5,20.0,False,119.2985754252022,101,0.10150753768844221,62.507617690161126
0,images/leftImage1.png,images/rightImage1.png,3,0.05,sift,5,1000,correlation,500,5,20.0,False,134.16108220991907,99,0.09949748743718594,89.34867440280784
0,images/leftImage1.png,images/rightImage1.png,3,0.05,sift,5,2000,correlation,500,5,30.0,False,306.367693039938,283,0.1418546365914787,234.81761760572653
0,images/leftImage1.png,images/rightImage1.png,3,0.05,sift,5,2000,correlation,500,5,20.0,False,136.84837337831985,167,0.0837092731829574,68.68020172591999
0,images/leftImage1.png,images/rightImage1.png,2,0.05,smooth_pixel_neighbourhood,5,1000,correlation,500,5,20,False,108.27530830426832,63,0.06331658291457286,92.9897443627213
0,images/leftImage1.png,images/rightImage1.png,2,0.05,sift,5,1000,correlation,500,5,20,False,119.2985754252022,101,0.10150753768844221,62.507617690161126
0,images/old1.png,images/old2.png,2,0.05,sift,5,1000,correlation,500,5,20,False,345.80114044689657,12,0.012060301507537688,107.47279210904962
0,images/old1.png,images/old2.png,2,0.05,sift,5,1000,correlation,500,5,20,False,345.80114044689657,12,0.012060301507537688,107.47279210904962
