,left_image_path,right_image_path,harris_neighbourhood_size,harris_keypoint_threshold,descriptor,patch_size,n_matches,matching_method,RANSAC_iterations,RANSAC_init_points,RANSAC_inlier_threshold,wandb,Sensitivity,n_inliers,inlier_ratio,average_residuals
0,images/old1.png,images/old2.png,2,0.01,sift,5,1000,correlation,2000,3,50,False,170.49758429254365,38,0.03811434302908726,473.4649853105634
0,images/old1.png,images/old2.png,2,0.01,sift,5,1000,correlation,2000,3,50,False,191.94720407937496,50,0.05015045135406219,611.1238331002718
0,images/_old1.png,images/old2.png,2,0.01,sift,5,1000,euclidean,2000,3,50,False,196.09275763177675,51,0.05115346038114343,451.02086935909665
0,images/_old1.png,images/old2.png,3,0.01,sift,5,1000,euclidean,2000,3,10,False,18.71926362334997,20,0.020060180541624874,10.876104429056278
0,images/_old1.png,images/old2.png,2,0.01,sift,5,1000,euclidean,2000,3,5,False,3.886357673888983,10,0.010030090270812437,1.469292995051199
0,images/im1.jpg,images/im3.jpg,2,0.01,sift,5,1000,euclidean,2000,3,50.0,False,325.47994438982886,216,0.21664994984954863,306.8015318698178
0,images/old1.png,images/old2.png,2,0.01,sift,5,1000,euclidean,5000,3,5,False,2.8694443688172693,12,0.012036108324974924,1.008305247663878
0,images/old_1.png,images/new_1.png,2,0.01,sift,5,1000,euclidean,5000,3,5,False,16.557617035694985,104,0.10431293881644935,2.643149347548082
0,images/old1.png,images/old2.png,2,0.01,sift,5,2000,euclidean,5000,3,5,False,6.603520818245034,14,0.007010515773660491,2.1168164328803143
0,images/old1.png,images/old2.png,2,0.01,sift,5,1000,euclidean,100,3,5,False,7.7338327534344415,9,0.009027081243731194,4.367700114968705
0,images/old1.png,images/old2.png,2,0.01,sift,5,1000,euclidean,100,3,5,False,3.6534366590591407,9,0.009027081243731194,1.2046695841819561
0,images/old_1.png,images/new_1.png,2,0.01,sift,5,1000,euclidean,2000,3,5,False,2.540556472064609,76,0.07622868605817452,2.4896489402493516
0,images/old_1.png,images/new_1.png,2,0.01,sift,5,1000,euclidean,5000,3,5.0,False,2.5974594560744717,78,0.07823470411233702,0.5129814007595186
0,images/im1.jpg,images/im3.jpg,2,0.01,sift,5,1000,euclidean,2000,3,5,False,13.856346191940439,42,0.04212637913741224,4.015162034273601
0,images/im1.jpg,images/im3.jpg,2,0.01,sift,5,500,euclidean,500,3,20,False,58.66776928189027,63,0.1267605633802817,54.14307202831136
