,left_image_path,right_image_path,harris_neighbourhood_size,harris_keypoint_threshold,descriptor,patch_size,n_matches,matching_method,RANSAC_iterations,RANSAC_init_points,RANSAC_inlier_threshold,wandb,Sensitivity
0,images/leftImage.png,images/rightImage.png,2,0.01,pixel_neighbourhood,5,500,euclidean,1000,5,100,True,319.7657358311923
0,images/leftImage.png,images/rightImage.png,5,0.01,pixel_neighbourhood,5,500,euclidean,1000,5,100,True,26.400333840486603
0,images/leftImage.png,images/rightImage.png,7,0.01,pixel_neighbourhood,5,500,euclidean,1000,5,100,True,29.140197487504373
0,images/leftim.png,images/rightim.png,2,0.01,pixel_neighbourhood,5,500,euclidean,1000,5,100,True,1.030322720916412e-11
0,images/leftim.png,images/rightim.png,5,0.01,pixel_neighbourhood,5,500,euclidean,1000,5,100,True,1.271795201874502e-11
0,images/leftim.png,images/rightim.png,7,0.01,pixel_neighbourhood,5,500,euclidean,1000,5,100,True,6.32845393861758e-11
0,images/im1.jpg,images/im2.jpg,2,0.01,pixel_neighbourhood,5,500,euclidean,1000,5,100,True,721.997412177955
0,images/im1.jpg,images/im2.jpg,5,0.01,pixel_neighbourhood,5,500,euclidean,1000,5,100,True,630.8487380225886
0,images/im1.jpg,images/im2.jpg,7,0.01,pixel_neighbourhood,5,500,euclidean,1000,5,100,True,785.8029051645428
0,images/leftImage.png,images/rightImage.png,2,0.01,pixel_neighbourhood,5,500,euclidean,1000,5,100,True,361.49325460548306
0,images/leftImage.png,images/rightImage.png,5,0.01,pixel_neighbourhood,5,500,euclidean,1000,5,100,True,26.304540334873153
0,images/leftImage.png,images/rightImage.png,7,0.01,pixel_neighbourhood,5,500,euclidean,1000,5,100,True,29.14321067226132
0,images/leftim.png,images/rightim.png,2,0.01,pixel_neighbourhood,5,500,euclidean,1000,5,100,True,8.45435349071868e-12
0,images/leftim.png,images/rightim.png,5,0.01,pixel_neighbourhood,5,500,euclidean,1000,5,100,True,1.4303491149438192e-11
0,images/leftim.png,images/rightim.png,7,0.01,pixel_neighbourhood,5,500,euclidean,1000,5,100,True,6.351637027079692e-11
0,images/im1.jpg,images/im2.jpg,2,0.01,pixel_neighbourhood,5,500,euclidean,1000,5,100,True,771.5575326619356
0,images/im1.jpg,images/im2.jpg,5,0.01,pixel_neighbourhood,5,500,euclidean,1000,5,100,True,640.6544022318316
0,images/im1.jpg,images/im2.jpg,7,0.01,pixel_neighbourhood,5,500,euclidean,1000,5,100,True,788.6366142820373
